NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
QUIMIOMETRIA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DISEÑO DE CIMENTACIONES SUPERFICIALES Y PROFUNDAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ESTRATIGRAFIA Y SEDIMENTACIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PATOLOGÍA ACUÍCOLA I,5K,"-2.14675, -79.96303",-2.14675,-79.96303
GEOMÁTICA,13C,"-2.14521, -79.9649",-2.14521,-79.9649
PETROFÍSICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
CLIMATOLOGÍA Y METEOROLOGÍA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MATERIA INTEGRADORA DE ESTADÍSTICA,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
ESTRUCTURA Y CARACTERIZACIÓN DE MATERIALES,12E,"-2.14471, -79.96635",-2.14471,-79.96635
MÉTODOS GEOFÍSICOS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GEOLOGÍA DEL PETRÓLEO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
GEOMORFOLOGIA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
BIOGEOQUÍMICA MARINA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
FUNDAMENTOS DE INGENIERÍA OCEANOGRÁFICA,5K,"-2.14675, -79.96303",-2.14675,-79.96303
PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
PERFORACIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
VULNERABILIDAD Y RIESGO GEOLÓGICO,13H,"-2.14592, -79.96581",-2.14592,-79.96581
HERRAMIENTAS PARA EL DIAGNÓSTICO DE ENFERMEDADES ACUÍCOLAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
SEGURIDAD MINERA,FICT,"-2.14532, -79.96537",-2.14532,-79.96537
"VENTILACIÓN, DRENAJE Y SISTEMAS ELÉCTRICOS",FICT,"-2.14532, -79.96537",-2.14532,-79.96537
DISEÑO DE MATERIALES COMPUESTOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
